as_of_date,store_id,product_id,horizon,window_days,error_std,valid_error_count,std_source,model_version,calculated_at
2024-01-26,S001,P0006,3,90,30.952095573961913,30,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-27,S001,P0006,3,90,30.48034909842252,31,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2023-12-28,S001,P0007,3,90,1.0,1,fallback_1,ensemble_v2,2026-07-13T07:06:13.058276
2023-12-29,S001,P0007,3,90,10.877727266609323,2,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2023-12-30,S001,P0007,3,90,25.264803320871422,3,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2023-12-31,S001,P0007,3,90,21.66718890060931,4,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-01,S001,P0007,3,90,25.572259034910783,5,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-02,S001,P0007,3,90,27.383448312246944,6,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-03,S001,P0007,3,90,26.107794686692966,7,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-04,S001,P0007,3,90,28.994665669793328,8,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-05,S001,P0007,3,90,28.750662926772428,9,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-06,S001,P0007,3,90,27.191517579258576,10,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-07,S001,P0007,3,90,26.1418191939211,11,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-08,S001,P0007,3,90,32.30271293727449,12,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-09,S001,P0007,3,90,31.083091671892486,13,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-10,S001,P0007,3,90,43.53778591832191,14,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-11,S001,P0007,3,90,42.02599085134824,15,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-12,S001,P0007,3,90,51.38297443847398,16,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-13,S001,P0007,3,90,50.0532103983563,17,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-14,S001,P0007,3,90,48.79825434662679,18,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-15,S001,P0007,3,90,47.468463861018044,19,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-16,S001,P0007,3,90,48.338664586452275,20,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-17,S001,P0007,3,90,50.30041573307556,21,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-18,S001,P0007,3,90,51.99175698678737,22,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-19,S001,P0007,3,90,51.0904043392003,23,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-20,S001,P0007,3,90,49.99839506264762,24,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-21,S001,P0007,3,90,50.47801455227939,25,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-22,S001,P0007,3,90,49.62950653058161,26,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-23,S001,P0007,3,90,49.52121728404589,27,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-24,S001,P0007,3,90,49.233872544906966,28,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-25,S001,P0007,3,90,48.57102796027516,29,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-26,S001,P0007,3,90,47.804462254827584,30,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-27,S001,P0007,3,90,47.75071408034836,31,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2023-12-28,S001,P0008,3,90,1.0,1,fallback_1,ensemble_v2,2026-07-13T07:06:13.058276
2023-12-29,S001,P0008,3,90,9.268463427101034,2,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2023-12-30,S001,P0008,3,90,7.164731461873802,3,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2023-12-31,S001,P0008,3,90,14.765042926495733,4,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-01,S001,P0008,3,90,27.02649557373836,5,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-02,S001,P0008,3,90,31.11490753469074,6,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-03,S001,P0008,3,90,34.475374863307216,7,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-04,S001,P0008,3,90,32.1462473296096,8,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-05,S001,P0008,3,90,30.11075239961486,9,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-06,S001,P0008,3,90,28.669506146627757,10,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-07,S001,P0008,3,90,28.314485344347638,11,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-08,S001,P0008,3,90,29.082212448887482,12,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-09,S001,P0008,3,90,34.10212391219733,13,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-10,S001,P0008,3,90,41.44378182384428,14,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-11,S001,P0008,3,90,40.03903332215998,15,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-12,S001,P0008,3,90,39.84441249366937,16,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-13,S001,P0008,3,90,38.73202949108414,17,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-14,S001,P0008,3,90,38.568154991339554,18,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-15,S001,P0008,3,90,37.58943750075929,19,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-16,S001,P0008,3,90,37.7568360837579,20,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-17,S001,P0008,3,90,36.86514110843736,21,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-18,S001,P0008,3,90,36.02130652257691,22,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-19,S001,P0008,3,90,36.328462704589036,23,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-20,S001,P0008,3,90,35.681415315734746,24,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-21,S001,P0008,3,90,35.03867827375712,25,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-22,S001,P0008,3,90,34.340094122507224,26,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-23,S001,P0008,3,90,33.73906969271025,27,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-24,S001,P0008,3,90,33.54286432724712,28,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-25,S001,P0008,3,90,32.96317452872766,29,calculated,ensemble_v2,2026-07-13T07:06:13.058276
